Маршрут,Оператор,Для чего подходит,Кто подает,Финансирование,Окно / статус на 27.04.2026,Проекты из реестра,Что подготовить первым,Источник,Дата проверки,План подачи с 1 июня 2026,Уверенность / что перепроверить
Фонд президентских грантов,ФПГ,Социальные проекты с измеримым общественным эффектом,НКО или проект через НКО-партнера,по условиям конкурса,Второй конкурс 2026 завершил прием 16.03.2026; готовить заявки к следующему окну,ТП-2026-003; ТП-2026-007; ТП-2026-009; ТП-2026-012; ТП-2026-024; ТП-2026-008; ТП-2026-013,"Целевая аудитория, социальный эффект, партнеры, смета, календарный план",https://президентскиегранты.рф/,27.04.2026,С июня готовить социальный пакет через НКО-партнера под следующее окно,Высокая как маршрут; проверить календарь конкурса 2027
ФСИ Старт-Цифровые технологии,Фонд содействия инновациям,"Цифровые продукты, ИИ-сервисы, платформы, EdTech/MedTech software",Физлицо или малое предприятие по условиям конкретного трека,обычно до 5 млн ₽; условия зависят от конкурса,В текущем реестре указан как трек «при открытии»; требуется мониторинг,ТП-2026-006; ТП-2026-007; ТП-2026-025; ТП-2026-026; ТП-2026-027; ТП-2026-018,"MVP, архитектура, данные, рынок, команда разработки, пилот",https://www.fasie.ru/programs/programma-start/,27.04.2026,С июня отслеживать открытие и заранее упаковать AI/EdTech проекты,Средняя; подтвердить наличие именно этого трека в 2026
ФСИ Старт-Медизделия,Фонд содействия инновациям,"Медицинские изделия, тренажеры, реабилитационные и протезные решения",Физлицо или малое предприятие по условиям конкретного трека,обычно до 5 млн ₽; условия зависят от конкурса,В текущем реестре указан как трек «при открытии»; требуется мониторинг,ТП-2026-001; ТП-2026-002; ТП-2026-003; ТП-2026-004; ТП-2026-016; ТП-2026-011; ТП-2026-013,"Медицинское ТЗ, класс изделия, пилотная база, риск-анализ, дорожная карта испытаний",https://www.fasie.ru/programs/programma-start/,27.04.2026,"С июня держать медтех-пакет наготове: Пневмоторакс, ортез, стоматология",Средняя; подтвердить открытие трека и допустимость образовательных тренажеров
ФСИ Старт-ИИ / искусственный интеллект,Фонд содействия инновациям,ИИ-продукты с технологической новизной и коммерческим сценарием,Физлицо или малое предприятие по условиям конкретного трека,обычно до 5 млн ₽; условия зависят от конкурса,Добавлен как профильный маршрут для AI-проектов; окно обязательно проверить,ТП-2026-006; ТП-2026-007; ТП-2026-025; ТП-2026-026; ТП-2026-018,"Датасеты, архитектура модели, MVP, метрики качества, пилотный пользователь",https://www.fasie.ru/programs/programma-start/,27.04.2026,"С июня готовить заявки по SmartNurse, сурдопереводу и помощнику преподавателя",Средняя; проверить точное название и статус конкурса
ФСИ Развитие,Фонд содействия инновациям,"Масштабирование НИОКР после MVP, развитие продукта и опытной партии",Малое инновационное предприятие / ООО по условиям конкурса,"до 30 млн ₽; обычно требуется софинансирование, условия уточнять","Подходит не для идеи, а для проектов с подтвержденным MVP/пилотом",ТП-2026-001; ТП-2026-002; ТП-2026-003; ТП-2026-006; ТП-2026-011; ТП-2026-027,"Результаты пилота, ИС, экономика, производственный план, софинансирование",https://www.fasie.ru/programs/programma-razvitie/,27.04.2026,С июня вести как маршрут второго эшелона после Старт/пилота,Средняя; проверить открытые конкурсы и размер софинансирования
ФСИ Коммерциализация,Фонд содействия инновациям,"Вывод на рынок, производство, продажи, доработка готового продукта",Малое предприятие с результатами НИОКР и коммерческим потенциалом,до 30 млн ₽; условия и софинансирование уточнять,Подходит для зрелых проектов при наличии рынка и МИП,ТП-2026-001; ТП-2026-002; ТП-2026-003; ТП-2026-004; ТП-2026-006; ТП-2026-011; ТП-2026-027,"Первые продажи/пилоты, IP, производственная смета, финансовая модель",https://www.fasie.ru/programs/,27.04.2026,"С июня готовить не как первую подачу, а как следующий этап для зрелых кейсов",Средняя; проверить актуальный URL и положение конкурса
ФСИ Бизнес-Старт,Фонд содействия инновациям,Запуск бизнеса вокруг технологического результата после ранних этапов,Малое предприятие / команда по условиям программы,условия зависят от конкурса,Во внутренних материалах помечен как требующий ручной перепроверки на 2026,ТП-2026-001; ТП-2026-002; ТП-2026-003; ТП-2026-015; ТП-2026-022; ТП-2026-027,"Бизнес-модель, рынок, команда, MVP, план запуска продаж",https://www.fasie.ru/,27.04.2026,С июня проверить наличие окна; использовать только при подтверждении оператора,Низкая/средняя; обязательно проверить действительность программы
ФСИ Старт-НТИ / Развитие-НТИ,Фонд содействия инновациям / НТИ,"Проекты по рынкам НТИ, робототехнике, БАС, VR/AR, цифровой медицине",Физлицо или малое предприятие по условиям конкурса,обычно грантовое финансирование; параметры по конкурсу,Профильный маршрут при открытии тематических конкурсов,ТП-2026-014; ТП-2026-019; ТП-2026-006; ТП-2026-009; ТП-2026-013; ТП-2026-024; ТП-2026-027,"Привязка к рынку НТИ, технологическая новизна, пилот, партнер",https://www.fasie.ru/,27.04.2026,С июня мониторить тематические окна НТИ и готовить гражданские сценарии,Средняя; проверить открытие конкретного конкурса
Сколково - гранты участникам проекта,Фонд «Сколково»,"Технологические стартапы: ИИ, медтех, VR/AR, промышленные цифровые продукты",Юрлицо - участник проекта «Сколково»,микрогранты/минигранты/гранты по правилам фонда; параметры уточнять,Актуально при получении статуса участника; это отдельный маршрут упаковки,ТП-2026-006; ТП-2026-007; ТП-2026-025; ТП-2026-026; ТП-2026-027; ТП-2026-001; ТП-2026-002,"Заявка на статус, презентация, IP, рынок, команда, дорожная карта",https://sk.ru/foundation/grants/,27.04.2026,С июня выбрать 2-3 проекта под статус Сколково и грантовый маршрут,Средняя; проверить условия 2026 и требования к юрлицу
Гранты Мэра Москвы / Добрый город,Правительство Москвы / Комитет общественных связей и молодежной политики,"Социальные проекты, инклюзия, занятость, поддержка людей с ОВЗ",НКО или партнерский НКО-контур,по условиям московского конкурса,Подходит для социальных и инклюзивных проектов в Москве,ТП-2026-003; ТП-2026-007; ТП-2026-012; ТП-2026-024; ТП-2026-008; ТП-2026-013,"НКО-партнер, социальный эффект, московская аудитория, бюджет, письма поддержки",https://душевная.москва/,27.04.2026,С июня найти НКО-партнера и проверить ближайший городской конкурс,Средняя; подтвердить календарь и номинации
Минобрнауки - молодежные лаборатории / научные конкурсы,Минобрнауки России и подведомственные операторы,"Научные лаборатории, прикладные исследования, развитие исследовательской базы",Университет / научная группа,по конкурсной документации,Использовать для исследовательских проектов и лабораторного контура,ТП-2026-005; ТП-2026-013; ТП-2026-007; ТП-2026-016,"Научная программа, руководитель, публикации, оборудование, кадровый план",https://minobrnauki.gov.ru/,27.04.2026,"С июня держать как стратегический научный маршрут, не как быстрый грант",Средняя; проверить конкретные конкурсы и право РГСУ на участие
Фонд НТИ / конкурсы и акселераторы НТИ,Платформа НТИ / Фонд НТИ,"Технологические проекты рынков НТИ, пилоты, акселерация и партнерства",Команда / юрлицо / университетский партнер по условиям отбора,по условиям отбора; иногда не классический грант,"Подходит для БАС, робототехники, VR/AR, AI и цифрового производства",ТП-2026-019; ТП-2026-014; ТП-2026-006; ТП-2026-009; ТП-2026-024; ТП-2026-027,"Технологическая дорожная карта, пилот, рынок НТИ, индустриальный партнер",https://nti.fund/,27.04.2026,С июня мониторить отборы и использовать для партнерского продвижения,Средняя; уточнить денежность поддержки и дедлайны
Акселератор Спринт,"ФРИИ / Минцифры, оператор программы по ИТ-акселерации",ИТ-продукты и цифровые сервисы с потенциалом масштабирования,Юрлицо / команда по условиям набора,акселерационная поддержка; условия финансирования уточнять,"Не классический грант, но полезен для цифровых проектов",ТП-2026-006; ТП-2026-025; ТП-2026-026; ТП-2026-027; ТП-2026-018; ТП-2026-007,"MVP, трекшн, описание продукта, команда, план продаж",https://sprint.iidf.ru/,27.04.2026,С июня рассмотреть как быстрый упаковочный маршрут для AI/EdTech,Средняя; проверить наборы 2026 и формат поддержки
Нацпроект «Кадры» / образовательные субсидии и конкурсы,Федеральные/региональные операторы подготовки кадров,"Образовательные программы, ДПО, инженерные интенсивы, профориентация",РГСУ / образовательный партнер / консорциум,по условиям оператора,"Не НИОКР, но важный маршрут для образовательных программ технопарка",ТП-2026-008; ТП-2026-028; ТП-2026-019; ТП-2026-026; ТП-2026-027,"Программа, часы, целевые группы, работодатели/школы, смета, KPI",https://trudvsem.ru/,27.04.2026,"С июня вести отдельным образовательным контуром, не смешивать с ФСИ",Средняя; определить конкретного оператора и окно
Контрактный НИОКР / индустриальный заказчик,"Индустриальный, медицинский, музейный или ведомственный партнер","Проекты, где грант медленнее или невозможен: специнжиниринг, заказные изделия, пилоты",РГСУ / МИП / партнерская организация,по ТЗ и договору,"Не грант, но обязательный маршрут для чувствительных и прикладных проектов",ТП-2026-020; ТП-2026-015; ТП-2026-014; ТП-2026-021; ТП-2026-022; ТП-2026-023; ТП-2026-016; ТП-2026-024,"ТЗ, NDA при необходимости, смета, календарь, прототип, договор пилота",внутренний контур РГСУ / партнерские переговоры,27.04.2026,"С июня выделить отдельно от публичных грантов, чтобы не рисковать заявками",Высокая как управленческий маршрут; не считать грантом
